gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000092563,0.723469476,0.28665929,1.231417202,0.232788116,0.815925942,NA
ENSMUSG00000073702,2883.777656,0.021339136,0.078929811,0.270355847,0.786886505,0.877499013
ENSMUSG00000003134,1903.925179,-0.041515301,0.066017212,-0.628855716,0.52944352,0.696463636
ENSMUSG00000003135,1395.298892,0.080616581,0.059807611,1.347931814,0.177680315,0.334672784
ENSMUSG00000077704,14.52656888,-0.174059699,0.285674426,-0.609293946,0.542329619,0.707193564
ENSMUSG00000048234,1050.566251,-0.040587664,0.049269494,-0.823788942,0.410059492,0.593673779
ENSMUSG00000050967,449.3246453,0.416311428,0.164423476,2.531946401,0.011343133,0.038867839
ENSMUSG00000057173,7.518758374,-0.346499344,0.377408536,-0.918101502,0.358565729,0.543198794
ENSMUSG00000101634,0.401115999,-1.191853645,1.562206211,-0.762929782,0.445505273,NA
ENSMUSG00000142690,0.416976234,2.205021346,1.777843054,1.240278966,0.214872229,NA
ENSMUSG00000026074,7344.763116,-0.26114562,0.066756065,-3.91193849,9.16E-05,0.000635828
ENSMUSG00000097899,18.49591101,-0.01505247,0.255453695,-0.058924455,0.95301228,0.975382946
ENSMUSG00000026073,17.2454822,1.523387793,0.27951569,5.450097615,5.03E-08,8.17E-07
ENSMUSG00000026072,442.4524778,0.339693141,0.091243061,3.722947675,0.00019691,0.001231634
ENSMUSG00000070942,17.35604074,0.06243347,0.244374335,0.255482926,0.798350129,0.88479427
ENSMUSG00000103230,0.613611508,-0.064376702,1.386032316,-0.046446754,0.962954172,NA
ENSMUSG00000026069,7.943117826,0.033725964,0.340815744,0.098956589,0.921172737,0.956081094
ENSMUSG00000026070,0.915618497,1.346818672,1.059037077,1.271738924,0.203465896,0.368215983
ENSMUSG00000026068,6.530002222,1.186298831,0.377723789,3.140651625,0.001685724,0.00771548
ENSMUSG00000026065,10.38496814,0.199333537,0.288920162,0.68992602,0.490240712,0.663740398
ENSMUSG00000026062,204.825124,0.13084198,0.108338926,1.207709768,0.22715892,0.398766727
ENSMUSG00000103270,0.267325868,0.004354201,1.954949931,0.00222727,0.998222897,NA
ENSMUSG00000041945,159.1580277,0.017203378,0.094640873,0.181775352,0.855759029,0.919351841
ENSMUSG00000079588,10.26682999,0.488993056,0.321181232,1.522483281,0.127888031,0.263424332
ENSMUSG00000142452,0.666064769,-0.556151729,1.445219717,-0.384821576,0.700369613,NA
ENSMUSG00000100832,0.141948331,0.004346047,3.417059373,0.001271868,0.998985197,NA
ENSMUSG00000045515,1495.9859,0.021807428,0.048822071,0.446671516,0.655112251,0.792739203
ENSMUSG00000060679,1276.387705,0.060200557,0.045130598,1.333918882,0.182230443,0.340773493
ENSMUSG00000140926,5.052397379,-1.333125729,0.524133456,-2.543485276,0.010975268,0.037834294
ENSMUSG00000041907,85.0718791,0.167208188,0.133786596,1.249812703,0.211367975,0.378420687
ENSMUSG00000070939,2594.608336,0.036818601,0.044635379,0.824874834,0.409442655,0.593068025
ENSMUSG00000010290,2126.958602,-0.141179385,0.044699255,-3.158428162,0.001586224,0.007324563
ENSMUSG00000008136,119.5578862,0.226699888,0.144002631,1.57427602,0.115423651,0.243990761
ENSMUSG00000066877,760.9488484,-0.08004701,0.054268541,-1.475016804,0.140208026,0.281475558
ENSMUSG00000026051,978.0004544,-0.104056092,0.351357792,-0.296154218,0.76711231,0.865989393
ENSMUSG00000057363,1432.071027,0.024470248,0.053432685,0.457964031,0.646978283,0.786758761
ENSMUSG00000041763,3129.875966,0.083246792,0.055426982,1.501918184,0.13311824,0.271204594
ENSMUSG00000047343,0.818181983,1.261033661,1.194736133,1.055491355,0.291200661,NA
ENSMUSG00000091844,14.78955263,-0.965352434,0.348938934,-2.76653689,0.005665517,0.021674004
ENSMUSG00000026049,244.9062514,0.102413639,0.092506383,1.107098085,0.268251523,0.447060732
ENSMUSG00000026047,479.5467467,-0.222176468,0.075114736,-2.957827973,0.00309815,0.013034798
ENSMUSG00000041684,1037.467832,-0.038742228,0.0492533,-0.786591504,0.431521034,0.613887721
ENSMUSG00000026048,1408.700853,-0.114801835,0.049776535,-2.306344438,0.021091394,0.064421976
ENSMUSG00000046828,0.100573888,0.828724982,3.777781541,0.219368159,0.826363271,NA
ENSMUSG00000056870,248.3000708,0.104663632,0.096599454,1.083480572,0.27859517,0.458606531
ENSMUSG00000026043,330.0525121,-0.565543966,0.151080056,-3.743339675,0.00018159,0.001150153
ENSMUSG00000026042,238.2028288,-0.409158603,0.113665076,-3.59968618,0.000318601,0.001852118
ENSMUSG00000025995,1222.567347,0.069487622,0.056376566,1.232562153,0.217739164,0.386728823
ENSMUSG00000025993,304.7251826,-0.418766732,0.09848015,-4.252295826,2.12E-05,0.000177887
ENSMUSG00000121768,0.139032293,-0.407849854,3.438283781,-0.118620184,0.905576274,NA
ENSMUSG00000041144,734.647126,-0.172125596,0.114161451,-1.50773833,0.131621511,0.269124655
ENSMUSG00000101262,11.09436568,-0.792784144,0.325083983,-2.438705643,0.014739969,0.048172863
ENSMUSG00000101337,60.0535485,-0.900192341,0.14369706,-6.264514667,3.74E-10,9.50E-09
ENSMUSG00000025986,3942.591954,-0.204366223,0.070901594,-2.88239251,0.003946678,0.015991368
ENSMUSG00000100033,17.00488253,-0.479407939,0.287182391,-1.66935005,0.095048027,0.210913997
ENSMUSG00000099941,0.1811558,-1.235019604,2.728340345,-0.452663322,0.650791194,NA
ENSMUSG00000026109,2138.952928,-0.380221716,0.048526691,-7.835310999,4.68E-15,2.92E-13
ENSMUSG00000101799,6.338166075,1.129857423,0.399967013,2.824876517,0.004729884,0.018588351
ENSMUSG00000045954,692.2406275,0.096561377,0.071165594,1.356854796,0.174827352,0.330705854
ENSMUSG00000026107,423.5639314,-0.11295697,0.070232828,-1.608321544,0.107764775,0.231957138
ENSMUSG00000099413,1.867701111,0.39612245,0.774608982,0.511383755,0.609082368,0.758369833
ENSMUSG00000018417,855.0956929,-0.002802498,0.067831524,-0.041315567,0.967044323,0.98355687
ENSMUSG00000100696,0.129655662,0.004344256,3.510879991,0.00123737,0.999012722,NA
ENSMUSG00000062939,5.596358171,0.418191637,0.410978184,1.017551911,0.308890951,0.491454793
ENSMUSG00000078291,0.289994491,0.422337023,1.916655698,0.220351012,0.825597794,NA
ENSMUSG00000109599,18.89880822,0.913161037,0.245616129,3.717838244,0.000200935,0.001253418
ENSMUSG00000026104,1623.023211,0.086203863,0.060576416,1.423059807,0.154718819,0.302578681
