"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"88","mmu00620","Pyruvate metabolism",41,0.911111111111111,1,1,0.999725341796875,0.024390243902439,1
"89","mmu00630","Glyoxylate and dicarboxylate metabolism",27,0.818181818181818,1,1,0.999969482421875,0,1
"90","mmu00650","Butanoate metabolism",22,0.814814814814815,1,1,0.998931884765625,0,1
"91","mmu00660",NA,1,0.5,1,1,0.999969482421875,0,1
"92","mmu00670","One carbon pool by folate",32,0.864864864864865,1,1,0.999969482421875,0,1
"93","mmu00750",NA,9,1,1,1,0.999969482421875,0,1
"94","mmu00770","Pantothenate and CoA biosynthesis",19,0.904761904761905,1,1,0.998565673828125,0.0526315789473684,1
"95","mmu00780",NA,3,1,1,1,0.999969482421875,0,1
"96","mmu00790","Folate biosynthesis",20,0.769230769230769,1,1,0.999969482421875,0,1
"97","mmu00830","Retinol metabolism",26,0.252427184466019,1,1,0.999969482421875,0,1
"98","mmu00860","Porphyrin metabolism",26,0.553191489361702,1,1,0.999237060546875,0.0384615384615385,1
"99","mmu00900","Terpenoid backbone biosynthesis",21,0.91304347826087,1,1,0.999969482421875,0,1
"100","mmu00910","Nitrogen metabolism",14,0.823529411764706,1,1,0.999969482421875,0,1
"101","mmu00920","Sulfur metabolism",9,0.818181818181818,1,1,0.999969482421875,0,1
"102","mmu00970","Aminoacyl-tRNA biosynthesis",44,0.0954446854663774,1,1,0.999969482421875,0,1
"103","mmu00980","Metabolism of xenobiotics by cytochrome P450",36,0.473684210526316,1,1,0.998443603515625,0.0277777777777778,1
"104","mmu00982","Drug metabolism - cytochrome P450",36,0.5,1,1,0.999969482421875,0,1
"105","mmu00983","Drug metabolism - other enzymes",50,0.520833333333333,1,1,0.999786376953125,0.02,1
"106","mmu01040","Biosynthesis of unsaturated fatty acids",29,0.852941176470588,1,1,0.999420166015625,0,1
"107","mmu01100",NA,1296,0.775583482944345,1,1,0.998992919921875,0.0123839009287926,1
"108","mmu01200","Carbon metabolism",102,0.829268292682927,1,1,0.998748779296875,0.0198019801980198,1
"109","mmu01212","Fatty acid metabolism",57,0.919354838709677,1,1,0.999847412109375,0,1
